"Year","Geography Group","Geography","Totals - All Services","Totals - Registered Services","Totals - Unregistered Services","Persons Served, by Service - Personal Care","Persons Served, by Service - Homemaker","Persons Served, by Service - Chore","Persons Served, by Service - Home Delivered Meals","Persons Served, by Service - Adult Day Care","Persons Served, by Service - Case Management","Persons Served, by Service - Congregate Meals","Persons Served, by Service - Nutrition Counseling","Persons Served, by Service - Assisted Transportation","Persons Served, by Service - Health Promotion","Persons Served, by Service - Cash & Counseling","Characteristics - Male","Characteristics - Female","Characteristics - Rural","Characteristics - Living Alone","Characteristics - Minority","Characteristics - Poverty","Characteristics - Minority and Poverty","Characteristics Percentages - Rural","Characteristics Percentages - Living Alone","Characteristics Percentages - Minority","Characteristics Percentages - Poverty","Characteristics Percentages - Minority and Poverty","Ethnicity - Hispanic","Ethnicity - Not Hispanic","Ethnicity - Percent Hispanic","Ethnicity - Percent Not Hispanic","Race - White Alone, Not Hispanic","Race - White Alone, Hispanic","Race - Native American Alone","Race - Asian Alone","Race - Black/African American Alone","Race - Hawaiian Pacific Islander Alone","Race - Other Race","Race - Two or More Races","Race Percentages - White Alone, Not Hispanic","Race Percentages - White Alone, Hispanic","Race Percentages - Native American Alone","Race Percentages - Asian Alone","Race Percentages - Black/African American Alone","Race Percentages - Hawaiian Pacific Islander Alone","Race Percentages - Other Race","Race Percentages - Two or More Races","Number of Persons Served at High Nutrition Risk - Total","Number of Persons Served at High Nutrition Risk - Home Delivered Meals","Number of Persons Served at High Nutrition Risk - Congregate Meals","Number of Persons Served at High Nutrition Risk - Nutrition Counseling"
"2015","States","Alabama","100,028","57,429","78,191","3,897","6,162","156","18,953","102","23,052","22,769","55","329","5,139","84","18,212","38,323","28,554","21,582","19,674","17,098","7,558","49.7 %","37.6 %","34.3 %","29.8 %","13.2 %","282","50,502","0.5 %","87.9 %","28,222","80","130","127","19,131","15","186","5","49.1 %","0.1 %","0.2 %","0.2 %","33.3 %","0.0 %","0.3 %","0.0 %","23,000","14,036","10,339","44"
"2015","States","Alaska","35,254","11,859","34,562","0","302","387","3,362","431","0","7,856","0","1,654","2,905","0","4,817","6,774","9,315","3,916","4,337","4,705","2,492","78.5 %","33.0 %","36.6 %","39.7 %","21.0 %","140","11,080","1.2 %","93.4 %","6,400","177","3,377","334","150","77","34","188","54.0 %","1.5 %","28.5 %","2.8 %","1.3 %","0.6 %","0.3 %","1.6 %","2,555","1,673","1,256","0"
"2015","States","Arizona","301,031","34,575","266,456","1,825","2,718","0","10,157","78","11,681","20,772","0","0","26,472","0","13,032","21,341","15,801","8,377","12,097","16,276","6,683","45.7 %","24.2 %","35.0 %","47.1 %","19.3 %","3,699","29,300","10.7 %","84.7 %","19,823","2,012","5,904","351","1,604","64","2,024","138","57.3 %","5.8 %","17.1 %","1.0 %","4.6 %","0.2 %","5.9 %","0.4 %","13,519","7,632","5,946","0"
"2015","States","Arkansas","82,064","41,230","65,897","1,191","190","267","14,414","69","7,097","22,855","0","17","5,293","17","14,825","26,088","23,564","19,749","7,102","12,366","3,569","57.2 %","47.9 %","17.2 %","30.0 %","8.7 %","334","40,424","0.8 %","98.0 %","33,294","641","207","101","5,533","34","71","515","80.8 %","1.6 %","0.5 %","0.2 %","13.4 %","0.1 %","0.2 %","1.2 %","12,073","9,410","3,036","0"
"2015","States","California","1,156,973","227,593","994,537","1,513","3,251","1,076","55,319","937","11,749","165,459","2,970","1,197","40,166","0","85,187","139,062","29,136","87,645","104,602","100,001","55,239","12.8 %","38.5 %","46.0 %","43.9 %","24.3 %","50,967","151,516","22.4 %","66.6 %","98,762","30,045","2,261","34,484","19,188","2,207","14,038","2,379","43.4 %","13.2 %","1.0 %","15.2 %","8.4 %","1.0 %","6.2 %","1.0 %","78,934","39,876","41,011","2,228"
"2015","States","Colorado","44,315","32,655","44,315","320","1,530","2,151","9,350","71","2,096","17,511","773","3,316","1,137","0","11,461","20,699","9,665","16,141","6,698","8,848","3,054","29.6 %","49.4 %","20.5 %","27.1 %","9.4 %","3,692","20,984","11.3 %","64.3 %","18,631","3,426","380","398","1,727","42","460","265","57.1 %","10.5 %","1.2 %","1.2 %","5.3 %","0.1 %","1.4 %","0.8 %","9,827","6,234","3,919","524"
"2015","States","Connecticut","84,561","24,215","64,763","427","988","647","6,471","522","580","16,107","1,650","88","3,501","43","8,134","16,042","2,913","13,337","4,533","3,420","1,665","12.0 %","55.1 %","18.7 %","14.1 %","6.9 %","1,889","22,241","7.8 %","91.8 %","19,576","1,848","124","255","1,987","48","101","170","80.8 %","7.6 %","0.5 %","1.1 %","8.2 %","0.2 %","0.4 %","0.7 %","6,256","3,476","2,934","772"
"2015","States","Delaware","17,123","16,907","216","570","0","0","4,189","251","5,010","11,402","325","170","970","0","5,719","11,169","7,517","4,991","4,280","3,200","578","44.5 %","29.5 %","25.3 %","18.9 %","3.4 %","202","16,620","1.2 %","98.3 %","12,466","194","93","407","3,547","3","18","18","73.7 %","1.1 %","0.6 %","2.4 %","21.0 %","0.0 %","0.1 %","0.1 %","3,359","2,796","1,176","283"
"2015","States","District of Columbia","55,245","10,936","52,360","0","532","26","3,244","136","2,573","5,373","1,740","2,947","6,574","0","3,469","7,467","0","6,351","10,145","1,382","1,340","0.0 %","58.1 %","92.8 %","12.6 %","12.3 %","583","10,081","5.3 %","92.2 %","613","330","19","253","9,194","12","337","0","5.6 %","3.0 %","0.2 %","2.3 %","84.1 %","0.1 %","3.1 %","0.0 %","2,999","1,150","1,271","539"
"2015","States","Florida","1,112,641","114,105","1,076,753","21,971","28,286","2,611","33,649","5,302","49,891","32,785","1,027","9,865","6,036","1,569","36,071","77,791","7,311","48,110","60,346","56,398","39,186","6.4 %","42.2 %","52.9 %","49.4 %","34.3 %","36,213","77,448","31.7 %","67.9 %","53,555","27,064","161","490","22,608","72","9,951","0","46.9 %","23.7 %","0.1 %","0.4 %","19.8 %","0.1 %","8.7 %","0.0 %","52,951","16,150","7,606","650"
