"Year","Geography Group","Geography","Age Group","Service","Poverty Level","Totals - Clients Receiving Registered Services","Totals - Total Clients, by Age Group","Characteristics - Male","Characteristics - Female","Characteristics - Rural","Characteristics - Lives Alone","Ethnicity - Hispanic","Ethnicity - Not Hispanic","Race - White Alone, Not Hispanic","Race - White Alone, Hispanic","Race - Native American Alone","Race - Asian Alone","Race - Black/African American Alone","Race - Hawaiian Pacific Islander Alone","Race - Other Race","Race - Two or More Races"
"2015","States","Alabama","Total - All Age Groups","Total - All Services","Total - All Income Levels","57,429","57,429","18,212","38,323","28,554","21,582","282","50,502","28,222","80","130","127","19,131","15","186","5"
"2015","States","Alabama","Age 60-74","Total - All Services","Total - All Income Levels","0","25,021","8,416","16,286","12,422","8,237","127","21,279","10,896","40","75","55","8,974","8","89","4"
"2015","States","Alabama","Age 75-84","Total - All Services","Total - All Income Levels","0","18,407","5,890","12,336","9,430","7,378","93","16,727","9,970","25","38","44","5,787","5","51","1"
"2015","States","Alabama","Age 85+","Total - All Services","Total - All Income Levels","0","13,092","3,546","9,155","6,163","5,785","51","11,599","6,803","12","13","23","4,079","2","44","0"
"2015","States","Alabama","Total - All Age Groups","Congregate Meals","Total - All Income Levels","22,769","22,769","7,675","15,062","12,636","10,446","146","22,619","15,564","37","83","79","6,256","11","63","4"
"2015","States","Alabama","Age 60-74","Congregate Meals","Total - All Income Levels","0","9,601","3,257","6,328","5,294","3,884","63","9,536","6,055","17","52","37","3,077","5","32","3"
"2015","States","Alabama","Age 75-84","Congregate Meals","Total - All Income Levels","0","8,313","2,825","5,480","4,689","3,949","57","8,255","6,026","15","25","31","1,977","5","25","1"
"2015","States","Alabama","Age 85+","Congregate Meals","Total - All Income Levels","0","4,282","1,396","2,880","2,321","2,465","18","4,263","3,153","3","4","8","1,003","1","6","0"
"2015","States","Alabama","Total - All Age Groups","Nutrition Counseling","Total - All Income Levels","55","55","12","43","24","28","1","54","13","1","0","0","40","0","0","0"
"2015","States","Alabama","Age 60-74","Nutrition Counseling","Total - All Income Levels","0","20","6","14","11","11","1","19","3","1","0","0","15","0","0","0"
"2015","States","Alabama","Age 75-84","Nutrition Counseling","Total - All Income Levels","0","19","4","15","8","10","0","19","6","0","0","0","13","0","0","0"
"2015","States","Alabama","Age 85+","Nutrition Counseling","Total - All Income Levels","0","16","2","14","5","7","0","16","4","0","0","0","12","0","0","0"
"2015","States","Alabama","Total - All Age Groups","Assisted Transportation","Total - All Income Levels","329","329","74","255","128","152","3","326","129","0","1","2","189","0","1","0"
"2015","States","Alabama","Age 60-74","Assisted Transportation","Total - All Income Levels","0","100","28","72","34","41","1","99","36","0","1","0","58","0","1","0"
"2015","States","Alabama","Age 75-84","Assisted Transportation","Total - All Income Levels","0","106","26","80","42","49","2","104","33","0","0","1","70","0","0","0"
"2015","States","Alabama","Age 85+","Assisted Transportation","Total - All Income Levels","0","123","20","103","52","62","0","123","60","0","0","1","61","0","0","0"
"2015","States","Alabama","Total - All Age Groups","Total - All Services","In Poverty","17,098","17,098","4,810","12,274","8,440","8,964","109","16,989","8,651","37","51","46","7,360","5","56","3"
"2015","States","Alabama","Age 60-74","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 75-84","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 85+","Total - All Services","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Total - All Age Groups","Congregate Meals","In Poverty","7,028","7,028","1,995","5,032","3,707","3,703","65","6,963","3,890","20","28","31","2,794","5","26","2"
"2015","States","Alabama","Age 60-74","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 75-84","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 85+","Congregate Meals","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Total - All Age Groups","Nutrition Counseling","In Poverty","29","29","6","23","14","17","1","28","6","1","0","0","22","0","0","0"
"2015","States","Alabama","Age 60-74","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 75-84","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 85+","Nutrition Counseling","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Total - All Age Groups","Assisted Transportation","In Poverty","142","142","27","115","53","76","2","140","42","0","1","2","95","0","1","0"
"2015","States","Alabama","Age 60-74","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 75-84","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alabama","Age 85+","Assisted Transportation","In Poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","States","Alaska","Total - All Age Groups","Total - All Services","Total - All Income Levels","11,859","11,354","4,817","6,774","9,315","3,916","140","11,080","6,400","177","3,377","334","150","77","34","188"
