Geography,Total Users,# Male,# Female,# High Nutrition Risk,% Male,% Female,% Rural,% Living Alone,% Minority,% Poverty,% Minority & Poverty,% Nutrition Risk,# Senior Centers,# Sr Ctrs receiving Title III Funds,% Sr Ctrs Receiving Title III Funds,Title III Exp,Total Exp,% Title III Exp
Alabama,"57,429","18,212","38,323","23,000",31.70%,66.70%,49.70%,37.60%,34.30%,29.80%,13.20%,40.05%,355,346,97.50%,"$14,742,438 ","$85,298,681 ",17.30%
Alaska,"11,859","4,817","6,774","2,555",40.60%,57.10%,78.50%,33.00%,36.60%,39.70%,21.00%,21.54%,41,31,75.60%,"$4,400,000 ","$23,909,508 ",18.40%
Arizona,"34,575","13,032","21,341","13,519",37.70%,61.70%,45.70%,24.20%,35.00%,47.10%,19.30%,39.10%,218,216,99.10%,"$20,330,903 ","$36,191,113 ",56.20%
Arkansas,"41,230","14,825","26,088","12,073",36.00%,63.30%,57.20%,47.90%,17.20%,30.00%,8.70%,29.28%,164,164,100.00%,"$9,216,151 ","$32,872,132 ",28.00%
California,"227,593","85,187","139,062","78,934",37.40%,61.10%,12.80%,38.50%,46.00%,43.90%,24.30%,34.68%,500,218,43.60%,"$83,815,838 ","$218,476,488 ",38.40%
Colorado,"32,655","11,461","20,699","9,827",35.10%,63.40%,29.60%,49.40%,20.50%,27.10%,9.40%,30.09%,2,2,100.00%,"$10,447,126 ","$33,065,609 ",31.60%
Connecticut,"24,215","8,134","16,042","6,256",33.60%,66.20%,12.00%,55.10%,18.70%,14.10%,6.90%,25.84%,161,32,19.90%,"$11,629,437 ","$31,578,013 ",36.80%
Delaware,"16,907","5,719","11,169","3,359",33.80%,66.10%,44.50%,29.50%,25.30%,18.90%,3.40%,19.87%,45,0,0.00%,"$3,909,831 ","$11,907,707 ",32.80%
District of Columbia,"10,936","3,469","7,467","2,999",31.70%,68.30%,0.00%,58.10%,92.80%,12.60%,12.30%,27.42%,3,3,100.00%,"$4,899,500 ","$29,283,365 ",16.70%
Florida,"114,105","36,071","77,791","52,951",31.60%,68.20%,6.40%,42.20%,52.90%,49.40%,34.30%,46.41%,218,171,78.40%,"$71,260,112 ","$491,790,822 ",14.50%
Georgia,"30,331","8,650","21,592","8,464",28.50%,71.20%,33.30%,45.00%,44.60%,46.70%,24.20%,27.91%,255,221,86.70%,"$21,181,848 ","$54,734,831 ",38.70%
Hawaii,"7,176","2,246","4,914","2,533",31.30%,68.50%,61.40%,36.20%,74.70%,26.50%,20.90%,35.30%,38,3,7.90%,"$4,116,848 ","$15,532,451 ",26.50%
Idaho,"17,854","6,829","10,919","5,008",38.20%,61.20%,50.90%,38.00%,4.80%,19.70%,1.50%,28.05%,94,58,61.70%,"$3,575,246 ","$8,860,808 ",40.30%
Illinois,"118,425","40,221","77,236","35,972",34.00%,65.20%,22.80%,53.40%,32.90%,37.50%,11.90%,30.38%,187,112,59.90%,"$30,852,235 ","$86,145,448 ",35.80%
Indiana,"89,304","30,666","58,009","20,459",34.30%,65.00%,25.10%,31.50%,18.30%,42.90%,9.20%,22.91%,174,78,44.80%,"$15,603,684 ","$53,695,593 ",29.10%
Iowa,"44,220","14,247","29,018","11,324",32.20%,65.60%,54.50%,50.60%,5.20%,37.20%,2.70%,25.61%,110,37,33.60%,"$10,701,749 ","$34,283,005 ",31.20%
Kansas,"34,558","12,701","21,857","11,071",36.80%,63.20%,64.10%,45.40%,8.70%,20.60%,3.40%,32.04%,347,0,0.00%,"$8,000,271 ","$22,698,229 ",35.20%
Kentucky,"24,058","8,003","16,030","7,792",33.30%,66.60%,66.30%,56.20%,10.60%,44.60%,5.70%,32.39%,361,361,100.00%,"$17,433,710 ","$26,620,983 ",65.50%
Louisiana,"39,860","13,164","26,403","16,552",33.00%,66.20%,39.50%,45.30%,35.80%,37.90%,18.10%,41.53%,139,0,0.00%,"$11,037,011 ","$50,732,997 ",21.80%
Maine,"17,476","7,404","9,974","5,395",42.40%,57.10%,66.80%,54.30%,4.00%,55.50%,2.80%,30.87%,11,11,100.00%,"$4,541,734 ","$10,848,256 ",41.90%
Maryland,"37,944","10,719","27,161","8,316",28.20%,71.60%,26.60%,20.80%,47.70%,15.30%,7.30%,21.92%,115,108,93.90%,"$15,087,804 ","$24,664,783 ",61.20%
Massachusetts,"108,150","34,975","71,630","17,939",32.30%,66.20%,5.50%,46.60%,13.20%,11.40%,2.80%,16.59%,330,116,35.20%,"$20,616,855 ","$367,990,340 ",5.60%
Michigan,"124,736","42,195","77,791","40,173",33.80%,62.40%,45.10%,40.40%,17.90%,25.60%,9.10%,32.21%,347,187,53.90%,"$25,578,406 ","$82,387,420 ",31.00%
Minnesota,"51,897","17,863","33,148","16,493",34.40%,63.90%,68.10%,47.60%,7.70%,17.90%,4.00%,31.78%,349,10,2.90%,"$11,896,701 ","$33,190,671 ",35.80%
Mississippi,"15,735","5,083","10,521","7,838",32.30%,66.90%,80.90%,48.00%,50.10%,62.80%,37.10%,49.81%,40,40,100.00%,"$8,755,010 ","$17,003,254 ",51.50%
Missouri,"103,956","39,427","64,133","26,451",37.90%,61.70%,64.50%,52.80%,18.80%,38.20%,11.20%,25.44%,231,227,98.30%,"$20,181,142 ","$56,444,699 ",35.80%
Montana,"25,986","9,906","15,165","12,593",38.10%,58.40%,52.60%,36.30%,8.10%,14.10%,1.80%,48.46%,154,154,100.00%,"$3,396,922 ","$21,950,678 ",15.50%
Nebraska,"28,048","9,424","18,471","4,877",33.60%,65.90%,79.10%,47.20%,5.40%,18.70%,2.40%,17.39%,190,187,98.40%,"$6,584,758 ","$27,897,422 ",23.60%
