State,Longitude,Latitude,Total Users,Total Exp,Title III Exp,Per Capita,Total Senior Centers,% Funded Centers,% Title III Exp,% Male,% Female,% Rural,% Living Alone,% Minority,% Poverty,% Minority & Poverty,% Nutrition Risk
Alabama,-86.79113,32.806671,57429,85298681,,1485.3,355,97.50%,17.30%,31.70%,66.70%,49.70%,37.60%,34.30%,29.80%,13.20%,40.10%
Alaska,-152.404419,64.2008,11859,23909508,,2016.1,41,75.60%,18.40%,40.60%,57.10%,78.50%,33.00%,36.60%,39.70%,21.00%,21.50%
Arizona,-111.431221,33.729759,34575,36191113,,1046.7,218,99.10%,56.20%,37.70%,61.70%,45.70%,24.20%,35.00%,47.10%,19.30%,39.10%
Arkansas,-92.373123,34.969704,41230,32872132,,797.3,164,100.00%,28.00%,36.00%,63.30%,57.20%,47.90%,17.20%,30.00%,8.70%,29.30%
California,-119.681564,36.116203,227593,218476488,,959.9,500,43.60%,38.40%,37.40%,61.10%,12.80%,38.50%,46.00%,43.90%,24.30%,34.70%
Colorado,-105.311104,39.059811,32655,33065609,,1012.6,2,100.00%,31.60%,35.10%,63.40%,29.60%,49.40%,20.50%,27.10%,9.40%,30.10%
Connecticut,-72.755371,41.597782,24215,31578013,,1304.1,161,19.90%,36.80%,33.60%,66.20%,12.00%,55.10%,18.70%,14.10%,6.90%,25.80%
Delaware,-75.507141,39.318523,16907,11907707,,704.3,45,0.00%,32.80%,33.80%,66.10%,44.50%,29.50%,25.30%,18.90%,3.40%,19.90%
District of Columbia,-77.026817,38.897438,10936,29283365,,2677.7,3,100.00%,16.70%,31.70%,68.30%,0.00%,58.10%,92.80%,12.60%,12.30%,27.40%
Florida,-81.686783,27.766279,114105,491790822,,4310,218,78.40%,14.50%,31.60%,68.20%,6.40%,42.20%,52.90%,49.40%,34.30%,46.40%
Georgia,-83.643074,33.040619,30331,54734831,,1804.6,255,86.70%,38.70%,28.50%,71.20%,33.30%,45.00%,44.60%,46.70%,24.20%,27.90%
