State,StateShort,TotalBeds,ForProfit,Pay_mcare,Pay_mcaid,Pay_other,Occupancy,AvgAge,AvgADL,LowCare
Alabama,AL,26494,81.5,13.67,67.3,19.03,86.25,77.91,16.84,12.19
Alaska,AK,0,0,0,0,0,0,0,0,0
Arizona,AZ,24450,81.14,12.02,66.29,21.69,71.87,79.68,15.41,15.46
Arkansas,AR,16525,80.27,16.1,58.89,25.01,71.21,76.01,16.59,10.41
California,CA,116447,82.91,14.88,61.93,23.19,86.12,77.04,17.73,10.51
Colorado,CO,20550,76.5,11.6,61.2,27.2,79.57,79.52,15.26,14.39
Connecticut,CT,27649,75.98,13.66,68.94,17.4,87.15,81.69,16.13,13.92
Delaware,DE,4886,63.04,17.86,59.63,22.51,88.38,80.37,16.46,12.57
District of Columbia,DC,0,0,0,0,0,0,0,0,0
Florida,FL,83192,72.86,20.52,57.38,22.1,87.66,79.83,17.4,8.48
Georgia,GA,40114,64.62,12.21,71.6,16.19,83.53,77.73,17.39,9.72
Hawaii,HI,4159,51.06,9.6,63.83,26.57,85.25,81.81,19.92,4
Idaho,ID,31147,55.08,8.19,47.77,44.04,78.54,83.06,14.26,17
Illinois,IL,5593,70.67,15.99,63.44,20.57,68.58,78.41,16.35,10.51
Indiana,IN,94643,73.07,14.89,58.97,26.14,75.07,77.29,15.23,17.01
Iowa,IA,52403,34.13,15.96,62.35,21.69,74.85,79.98,17.24,7.55
Kansas,KS,23073,53.04,11.08,52.93,35.99,79.61,81.24,13.97,19.97
Kentucky,KY,26959,74.56,13.95,66.6,19.45,85.89,79.43,17.45,6.91
Louisiana,LA,34292,79.21,11.35,74.09,14.56,75.42,77.1,15.59,14.16
Maine,ME,47204,70.22,12.8,61.07,26.13,86.52,81.76,17,10.92
Maryland,MD,27874,71.62,19.42,61.21,19.37,87.21,78.55,18.21,6.42
Massachusetts,MA,6880,69.9,13.56,63.68,22.76,89.02,82.17,18.2,3.76
Michigan,MI,46781,72.85,18.43,59.92,21.65,82.77,80.25,16.19,9.72
Minnesota,MN,29790,30.37,10.7,52.66,36.64,84.84,82.76,15.28,15.2
Mississippi,MS,53444,75.49,10.29,62.72,26.99,72.54,78.17,13.17,24.33
Missouri,MO,18414,77.45,14.47,74.84,10.69,87.28,77.47,16.32,13.11
Montana,MT,6751,46.99,12.78,57.69,29.53,68.75,80.32,14.37,18.32
Nebraska,NE,44601,79.43,16.14,63.61,20.25,82.52,79.13,17.54,6.68
Nevada,NV,6011,3.75,7.52,51.22,41.26,91.57,83.9,15.22,14.67
New Hampshire,NH,15773,49.77,13,51.63,35.37,75.47,81.47,15.03,14.54
New Jersey,NJ,7525,60.53,15.64,63.4,20.96,88.58,82.83,15.58,13.35
New Mexico,NM,52547,72.33,18.75,59.24,22.01,85.32,79.4,17.26,11.33
New York,NY,7070,72.6,11.4,64.3,24.3,79.25,79.04,15.39,13.71
North Carolina,NC,6400,78.18,18.4,57.7,23.9,77.63,75.02,16.95,11.07
North Dakota,ND,116106,58.92,13.04,66.96,20,90.45,79.82,17.71,8.46
Ohio,OH,90895,79.54,10.94,59.37,29.69,83.05,78.23,16.34,11.69
Oklahoma,OK,28708,85.67,12.05,64.11,23.84,67.49,78.03,13.76,23.01
Oregon,OR,11928,81.75,14.23,55.93,29.84,65.31,77.25,16.41,8.53
Pennsylvania,PA,88218,53.21,10.53,62.56,26.91,88.55,81.43,17.12,7.37
Rhode Island,RI,8720,79.76,9.01,62.72,28.27,90.34,83.2,15.69,13.47
South Carolina,SC,19356,78.07,17.68,59.98,22.34,85.62,79.51,18.3,5.67
South Dakota,SD,6861,35.45,8.72,52.33,38.95,91.48,83.88,14.47,16.87
Tennessee,TN,36568,81.5,17.63,59.45,22.92,77.27,78.98,18.3,5.8
Texas,TX,131147,80.91,14.1,61.46,24.44,72.26,78.6,16.46,11.4
Utah,UT,8611,77,18.2,51.92,29.88,67.67,74.3,17.76,4.54
Vermont,VT,32438,68.75,17.74,59.19,23.07,85.95,79.19,17.35,9.18
Virginia,VA,3174,64.86,16.88,63.17,19.95,84.09,82.16,16.94,8.96
Washington,WA,21211,73.42,17.61,59.64,22.75,80.04,79.21,16.92,8.62
West Virginia,WV,33700,52.82,12.99,55.67,31.34,79.16,82.63,16.01,11.33
Wisconsin,WI,10858,73.81,11.53,75.48,12.99,87.04,79.42,16.35,11.65
Wyoming,WY,2950,42.11,10.16,62.28,27.56,76.3,81.98,14.14,15.93
