State,StateShort,Longitude,Latitude,Total Users,Total Exp,PerCapita,Total Senior Centers,% Funded Centers,% Title III Exp,% Male,% Female,% Rural,% Living Alone,% Minority,% Poverty,% Minority & Poverty,% Nutrition Risk,TotalBeds,ForProfit,Pay_mcare,Pay_mcaid,Pay_other,Occupancy,AvgAge,AvgADL,LowCare
Alabama,AL,-86.79113,32.806671,57429,85298681,1485.3,355,97.5,17.3,31.7,66.7,49.7,37.6,34.3,29.8,13.2,40.1,26494,81.5,13.67,67.3,19.03,86.25,77.91,16.84,12.19
Alaska,AK,-152.404419,64.2008,11859,23909508,2016.1,41,75.6,18.4,40.6,57.1,78.5,33,36.6,39.7,21,21.5,0,0,0,0,0,0,0,0,0
Arizona,AZ,-111.431221,33.729759,34575,36191113,1046.7,218,99.1,56.2,37.7,61.7,45.7,24.2,35,47.1,19.3,39.1,24450,81.14,12.02,66.29,21.69,71.87,79.68,15.41,15.46
Arkansas,AR,-92.373123,34.969704,41230,32872132,797.3,164,100,28,36,63.3,57.2,47.9,17.2,30,8.7,29.3,16525,80.27,16.1,58.89,25.01,71.21,76.01,16.59,10.41
California,CA,-119.681564,36.116203,227593,218476488,959.9,500,43.6,38.4,37.4,61.1,12.8,38.5,46,43.9,24.3,34.7,116447,82.91,14.88,61.93,23.19,86.12,77.04,17.73,10.51
Colorado,CO,-105.311104,39.059811,32655,33065609,1012.6,2,100,31.6,35.1,63.4,29.6,49.4,20.5,27.1,9.4,30.1,20550,76.5,11.6,61.2,27.2,79.57,79.52,15.26,14.39
Connecticut,CT,-72.755371,41.597782,24215,31578013,1304.1,161,19.9,36.8,33.6,66.2,12,55.1,18.7,14.1,6.9,25.8,27649,75.98,13.66,68.94,17.4,87.15,81.69,16.13,13.92
Delaware,DE,-75.507141,39.318523,16907,11907707,704.3,45,0,32.8,33.8,66.1,44.5,29.5,25.3,18.9,3.4,19.9,4886,63.04,17.86,59.63,22.51,88.38,80.37,16.46,12.57
Florida,FL,-81.686783,27.766279,114105,491790822,4310,218,78.4,14.5,31.6,68.2,6.4,42.2,52.9,49.4,34.3,46.4,83192,72.86,20.52,57.38,22.1,87.66,79.83,17.4,8.48
Georgia,GA,-83.643074,33.040619,30331,54734831,1804.6,255,86.7,38.7,28.5,71.2,33.3,45,44.6,46.7,24.2,27.9,40114,64.62,12.21,71.6,16.19,83.53,77.73,17.39,9.72
