State,StateShort,Longitude,Latitude,Total Users,Total Exp,PerCapita,Total Senior Centers,% Funded Centers,% Title III Exp,% Male,% Female,% Rural,% Living Alone,% Minority,% Poverty,% Minority & Poverty,% Nutrition Risk
Alabama,AL,-86.79113,32.806671,57429,85298681,1485.3,355,97.5,17.3,31.7,66.7,49.7,37.6,34.3,29.8,13.2,40.1
Alaska,AK,-152.404419,64.2008,11859,23909508,2016.1,41,75.6,18.4,40.6,57.1,78.5,33,36.6,39.7,21,21.5
Arizona,AZ,-111.431221,33.729759,34575,36191113,1046.7,218,99.1,56.2,37.7,61.7,45.7,24.2,35,47.1,19.3,39.1
Arkansas,AR,-92.373123,34.969704,41230,32872132,797.3,164,100,28,36,63.3,57.2,47.9,17.2,30,8.7,29.3
California,CA,-119.681564,36.116203,227593,218476488,959.9,500,43.6,38.4,37.4,61.1,12.8,38.5,46,43.9,24.3,34.7
Colorado,CO,-105.311104,39.059811,32655,33065609,1012.6,2,100,31.6,35.1,63.4,29.6,49.4,20.5,27.1,9.4,30.1
Connecticut,CT,-72.755371,41.597782,24215,31578013,1304.1,161,19.9,36.8,33.6,66.2,12,55.1,18.7,14.1,6.9,25.8
Delaware,DE,-75.507141,39.318523,16907,11907707,704.3,45,0,32.8,33.8,66.1,44.5,29.5,25.3,18.9,3.4,19.9
District of Columbia,DC,-77.026817,38.897438,10936,29283365,2677.7,3,100,16.7,31.7,68.3,0,58.1,92.8,12.6,12.3,27.4
Florida,FL,-81.686783,27.766279,114105,491790822,4310,218,78.4,14.5,31.6,68.2,6.4,42.2,52.9,49.4,34.3,46.4
Georgia,GA,-83.643074,33.040619,30331,54734831,1804.6,255,86.7,38.7,28.5,71.2,33.3,45,44.6,46.7,24.2,27.9
Hawaii,HI,-157.498337,21.094318,7176,15532451,2164.5,38,7.9,26.5,31.3,68.5,61.4,36.2,74.7,26.5,20.9,35.3
Idaho,ID,-114.478828,44.240459,17854,8860808,496.3,94,61.7,40.3,38.2,61.2,50.9,38,4.8,19.7,1.5,28.1
Illinois,IL,-88.986137,40.349457,118425,86145448,727.4,187,59.9,35.8,34,65.2,22.8,53.4,32.9,37.5,11.9,30.4
Indiana,IN,-86.258278,39.849426,89304,53695593,601.3,174,44.8,29.1,34.3,65,25.1,31.5,18.3,42.9,9.2,22.9
Iowa,IA,-93.210526,42.011539,44220,34283005,775.3,110,33.6,31.2,32.2,65.6,54.5,50.6,5.2,37.2,2.7,25.6
Kansas,KS,-96.726486,38.5266,34558,22698229,656.8,347,0,35.2,36.8,63.2,64.1,45.4,8.7,20.6,3.4,32
Kentucky,KY,-84.670067,37.66814,24058,26620983,1106.5,361,100,65.5,33.3,66.6,66.3,56.2,10.6,44.6,5.7,32.4
Louisiana,LA,-91.867805,31.169546,39860,50732997,1272.8,139,0,21.8,33,66.2,39.5,45.3,35.8,37.9,18.1,41.5
Maine,ME,-69.381927,45.2538,17476,10848256,620.8,11,100,41.9,42.4,57.1,66.8,54.3,4,55.5,2.8,30.9
Maryland,MD,-76.802101,39.063946,37944,24664783,650,115,93.9,61.2,28.2,71.6,26.6,20.8,47.7,15.3,7.3,21.9
Massachusetts,MA,-71.530106,42.230171,108150,367990340,3402.6,330,35.2,5.6,32.3,66.2,5.5,46.6,13.2,11.4,2.8,16.6
Michigan,MI,-84.536095,43.326618,124736,82387420,660.5,347,53.9,31,33.8,62.4,45.1,40.4,17.9,25.6,9.1,32.2
Minnesota,MN,-93.900192,45.694454,51897,33190671,639.5,349,2.9,35.8,34.4,63.9,68.1,47.6,7.7,17.9,4,31.8
Mississippi,MS,-89.678696,32.741646,15735,17003254,1080.6,40,100,51.5,32.3,66.9,80.9,48,50.1,62.8,37.1,49.8
Missouri,MO,-92.288368,38.456085,103956,56444699,543,231,98.3,35.8,37.9,61.7,64.5,52.8,18.8,38.2,11.2,25.4
Montana,MT,-110.454353,46.921925,25986,21950678,844.7,154,100,15.5,38.1,58.4,52.6,36.3,8.1,14.1,1.8,48.5
Nebraska,NE,-98.268082,41.12537,28048,27897422,994.6,190,98.4,23.6,33.6,65.9,79.1,47.2,5.4,18.7,2.4,17.4
Nevada,NV,-117.055374,38.313515,25061,11495318,458.7,56,83.9,55.8,41.5,57,44,40,19.4,31.8,9.1,32.1
New Hampshire,NH,-71.563896,43.452492,32181,35561116,1105,62,0,13.6,33.8,65.7,74.9,46.2,0.5,15.3,0.1,28.7
New Jersey,NJ,-74.521011,40.298904,62731,88873806,1416.7,283,41.7,32.6,31.6,67.2,0,44.7,30.8,25.8,12.7,26
