State,Personal Care,Homemaker,Chore,Home Delivered Meals,Adult Day Care,Case Management,Congregate Meals,Nutrition Counseling,Assisted Transportation,Health Promotion,Cash & Counseling,Total
AL,3897,6162,156,18953,102,23052,22769,55,329,5139,84,"57,429"
AK,0,302,387,3362,431,0,7856,0,1654,2905,0,"11,859"
AZ,1825,2718,0,10157,78,11681,20772,0,0,26472,0,"34,575"
AR,1191,190,267,14414,69,7097,22855,0,17,5293,17,"41,230"
CA,1513,3251,1076,55319,937,11749,165459,2970,1197,40166,0,"227,593"
CO,320,1530,2151,9350,71,2096,17511,773,3316,1137,0,"32,655"
CT,427,988,647,6471,522,580,16107,1650,88,3501,43,"24,215"
DE,570,0,0,4189,251,5010,11402,325,170,970,0,"16,907"
DC,0,532,26,3244,136,2573,5373,1740,2947,6574,0,"10,936"
FL,21971,28286,2611,33649,5302,49891,32785,1027,9865,6036,1569,"114,105"
GA,628,2891,0,13262,449,4655,14590,271,0,943673,7,"30,331"
HI,953,563,45,2610,207,1149,3256,63,98,1995,21,"7,176"
ID,0,1254,47,3841,1,11,13677,0,0,2147,0,"17,854"
IL,0,0,1518,33350,0,0,82936,0,621,27029,0,"118,425"
IN,2997,2378,335,8608,110,72011,16814,0,236,12875,0,"89,304"
IA,327,1332,714,11817,347,8182,25208,258,1436,6109,0,"44,220"
KS,372,784,0,11415,0,780,23683,0,0,2874,0,"34,558"
KY,138,719,1171,5817,0,2546,15069,153,794,6140,0,"24,058"
LA,630,5501,713,19914,0,0,17810,366,121,1734,0,"39,860"
ME,6,66,0,4468,149,67,13061,1008,0,1638,0,"17,476"
MD,262,276,90,7284,101,1892,32211,326,1377,53960,0,"37,944"
MA,19365,46024,3134,47844,1630,4868,28448,1058,390,6343,0,"108,150"
MI,5030,9979,3993,56474,0,15067,57128,3,1746,9493,0,"124,736"
MN,0,1227,3009,11969,0,0,37997,0,2818,4562,67,"51,897"
MS,0,2668,0,9458,269,460,4602,0,0,111,0,"15,735"
MO,406,1434,0,33591,99,13616,65594,50,188,7990,0,"103,956"
MT,393,1437,48,7264,0,125,19698,1,186,120,0,"25,986"
NE,258,1593,1168,8186,0,5608,19709,1053,557,12424,432,"28,048"
NV,0,1049,0,7353,138,3177,17209,0,0,201,0,"25,061"
NH,638,3679,0,12483,495,1147,18237,12052,0,1,0,"32,181"
NJ,30,1555,1263,22017,840,12595,28725,1102,2903,9764,0,"62,731"
NM,0,1573,989,10363,223,1868,31695,0,34,601,0,"42,326"
NY,7667,5068,0,62636,1657,52322,175584,6334,2484,139779,0,"248,943"
NC,4033,91,2561,18242,1069,134,23456,0,0,7422,0,"46,801"
ND,0,0,0,5114,0,0,13550,0,0,4045,0,"17,688"
OH,1523,3470,2315,37525,205,1248,46900,104,584,5030,0,"87,008"
OK,0,1163,193,9594,0,61,17611,297,79,834,0,"27,253"
OR,1830,3794,234,13478,45,8638,27488,1148,488,8892,31,"45,684"
PA,14501,6705,0,32924,904,33950,66972,3,42,24321,0,"122,634"
RI,0,0,0,1936,0,913,5554,0,0,446,0,"8,362"
SC,227,2575,0,12307,0,4,8794,0,310,3077,95,"20,425"
SD,0,0,0,2765,170,5598,8589,0,0,360,0,"15,414"
TN,846,2715,23,8140,30,12987,12933,54,158,3756,4,"29,356"
TX,819,1284,35,61576,45,13641,64038,0,0,5614,6,"140,195"
UT,32,169,1184,9515,4,58,23249,0,887,13284,0,"32,244"
VT,0,61,0,4910,0,6801,11095,108,0,2642,0,"19,924"
VA,973,1172,309,12381,330,60,12145,0,111,3362,0,"25,832"
WA,160,0,332,11699,204,902,43060,0,0,20298,0,"55,186"
WV,136,710,56,8590,21,0,20149,0,1633,3165,0,"29,215"
WI,943,568,933,21019,35,838,45590,160,1644,7863,0,"67,112"
WY,429,1518,58,4679,5,2142,17655,186,827,2573,0,"21,847"
